Soy el rank 0, empiezo en 0 y mi tamaño es 290
Soy el rank 3, empiezo en 870 y mi tamaño es 290
Soy el rank 2, empiezo en 580 y mi tamaño es 290
El tamaño total es 1160
Soy el rank 1, empiezo en 290 y mi tamaño es 290
0 0 0 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
0 1 0 Valor de food_to_share: 0.000000, posiciones: 22.753803 (row) , 13.941335 (col) 
0 2 0 Valor de food_to_share: 0.000000, posiciones: 25.238825 (row) , 35.847588 (col) 
0 3 0 Valor de food_to_share: 0.000000, posiciones: 1.597574 (row) , 22.516121 (col) 
0 4 0 Valor de food_to_share: 0.000000, posiciones: 13.480468 (row) , 8.663124 (col) 
0 5 0 Valor de food_to_share: 0.000000, posiciones: 9.316063 (row) , 36.608753 (col) 
0 0 2 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
0 1 2 Valor de food_to_share: 0.000000, posiciones: 22.753803 (row) , 13.941335 (col) 
0 2 2 Valor de food_to_share: 0.000000, posiciones: 25.238825 (row) , 35.847588 (col) 
0 3 2 Valor de food_to_share: 0.000000, posiciones: 1.597574 (row) , 22.516121 (col) 
0 4 2 Valor de food_to_share: 0.000000, posiciones: 13.480468 (row) , 8.663124 (col) 
0 5 2 Valor de food_to_share: 0.000000, posiciones: 9.316063 (row) , 36.608753 (col) 
0 6 2 Valor de food_to_share: 0.000000, posiciones: 17.320755 (row) , 36.742828 (col) 
0 7 2 Valor de food_to_share: 0.000000, posiciones: 19.282284 (row) , 5.490758 (col) 
0 0 3 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
0 1 3 Valor de food_to_share: 0.000000, posiciones: 22.753803 (row) , 13.941335 (col) 
0 2 3 Valor de food_to_share: 0.000000, posiciones: 25.238825 (row) , 35.847588 (col) 
0 6 0 Valor de food_to_share: 0.000000, posiciones: 17.320755 (row) , 36.742828 (col) 
0 7 0 Valor de food_to_share: 0.000000, posiciones: 19.282284 (row) , 5.490758 (col) 
0 0 1 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
0 1 1 Valor de food_to_share: 0.000000, posiciones: 22.753803 (row) , 13.941335 (col) 
0 2 1 Valor de food_to_share: 0.000000, posiciones: 25.238825 (row) , 35.847588 (col) 
0 3 1 Valor de food_to_share: 0.000000, posiciones: 1.597574 (row) , 22.516121 (col) 
0 4 1 Valor de food_to_share: 0.000000, posiciones: 13.480468 (row) , 8.663124 (col) 
0 5 1 Valor de food_to_share: 0.000000, posiciones: 9.316063 (row) , 36.608753 (col) 
